"PLAYER","GP","DQ","EJECT","TECH","FLAG"
"A.C. Green",1431,5,0,57,3
"A.J. Guyton",80,0,0,0,0
"A.J. Price",270,1,0,2,2
"Aaron Brooks",685,9,7,46,7
"Aaron Gordon",548,7,1,26,1
"Aaron Gray",326,5,1,9,2
"Aaron Harrison",35,0,0,0,0
"Aaron Henry",6,0,0,0,0
"Aaron Holiday",258,1,0,10,1
"Aaron Jackson",8,0,0,0,0
"Aaron McKie",868,19,0,7,0
"Aaron Miles",19,0,0,0,0
"Aaron Nesmith",116,0,0,0,0
"Aaron Swinson",9,0,0,0,0
"Aaron Wiggins",50,0,0,0,0
"Aaron Williams",768,31,1,10,7
"Abdel Nader",224,0,0,0,0
"Acie Earl",194,5,0,2,0
"Acie Law",201,0,0,1,0
"Adam Harrington",19,0,0,0,0
"Adam Keefe",681,1,0,17,3
"Adam Mokoka",25,0,0,0,0
"Adam Morrison",163,0,0,8,1
"Admiral Schofield",71,1,1,2,3
"Adonal Foyle",741,14,0,0,1
"Adonis Jordan",10,0,0,0,0
"Adonis Thomas",6,0,0,0,0
"Adreian Payne",107,1,1,2,2
"Adrian Caldwell",199,1,0,2,1
"Adrian Griffin",525,9,0,2,1
"Ahmad Caver",1,0,0,0,0
"AJ Hammons",22,0,0,0,0
"Al-Farouq Aminu",751,5,0,14,0
"Al Harrington",1036,29,6,55,11
"Al Horford",1095,11,2,22,11
"Al Jefferson",936,18,1,22,0
"Al Thornton",296,12,0,5,1
"Alaa Abdelnaby",273,2,0,6,0
"Alan Anderson",348,1,1,11,0
"Alan Henderson",688,16,2,34,0
"Alan Williams",67,1,0,2,2
"Alando Tucker",51,0,0,0,0
"Alec Burks",647,4,0,2,0
"Alec Kessler",212,4,0,3,0
"Alec Peters",20,0,0,0,0
"Aleem Ford",5,0,0,0,0
"Aleksandar Djordjevic",8,0,0,0,0
"Aleksandar Radojevic",15,1,0,1,0
"Aleksej Pokusevski",106,0,0,0,0
"Alen Smailagic",29,0,0,1,0
"Alex Abrines",185,0,0,1,0
"Alex Acker",30,0,0,0,0
"Alex Caruso",256,3,0,7,0
"Alex Garcia",10,0,0,0,0
"Alex Kirk",5,0,0,0,0
"Alex Len",575,20,3,11,12
"Alex Poythress",52,1,0,0,0
"Alex Stepheson",8,1,0,0,0
"Alexander Johnson",102,7,0,2,1
"Alexey Shved",182,0,0,2,0
"Alexis Ajinca",296,3,0,6,0
"Alfonzo McKinnie",206,0,0,0,0
"Alize Johnson",78,0,0,0,0
"Allan Houston",902,21,0,5,0
"Allan Ray",47,2,0,0,0
"Allen Crabbe",398,5,1,3,0
"Allen Iverson",985,11,5,152,0
"Allonzo Trier",88,1,0,3,1
"Alonzo Gee",418,5,0,2,1
"Alonzo Mourning",933,63,5,134,12
"Alperen Sengun",72,2,0,2,0
"Alphonso Ford",11,0,0,0,0
"Alton Ford",73,0,0,2,4
"Alton Lister",1040,87,0,35,3
"Alvin Heggs",4,0,0,0,0
"Alvin Jones",23,0,0,0,1
"Alvin Williams",478,4,0,8,4
"Amal McCaskill",116,0,0,0,0
"Amar'e Stoudemire",924,36,6,136,4
"Amida Brimah",5,0,0,0,0
"Amile Jefferson",30,0,0,0,0
"Amir Coffey",144,1,0,1,0
"Amir Johnson",924,30,1,12,8
"Anderson Varejao",720,17,1,35,7
"Andray Blatche",591,8,0,33,3
"Andre Barrett",67,0,0,0,0
"Andre Brown",75,0,0,2,0
"Andre Dawkins",4,0,0,0,0
"Andre Drummond",735,29,6,81,8
"Andre Emmett",14,0,0,0,0
"Andre Iguodala",1398,9,2,36,0
"Andre Ingram",6,0,0,0,0
"Andre Miller",1372,16,4,78,12
"Andre Owens",54,0,0,0,1
"Andre Roberson",333,5,0,4,0
"Andre Spencer",48,0,0,0,0
"Andrea Bargnani",561,8,1,13,1
"Andreas Glyniadakis",13,0,0,0,1
"Andrei Kirilenko",852,14,0,1,0
"Andres Guibert",22,0,0,0,0
"Andres Nocioni",537,19,0,37,7
"Andrew Bogut",783,46,1,42,14
"Andrew Bynum",492,12,6,27,7
"Andrew DeClercq",600,31,0,17,5
"Andrew Gaze",26,0,0,0,0
"Andrew Goudelock",58,0,0,0,0
"Andrew Harrison",151,6,1,8,1
"Andrew Lang",779,33,0,32,4
"Andrew Nicholson",285,4,1,2,1
"Andrew White III",15,0,0,0,0
"Andrew Wiggins",623,8,0,5,4
"Andris Biedrins",530,34,0,3,0
"Andy Rautins",5,0,0,0,0
"Andy Toolson",62,0,0,1,0
"Anfernee Hardaway",768,10,0,43,1
"Anfernee Simons",226,2,0,1,0
"Angel Delgado",2,0,0,0,0
"Ansu Sesay",131,1,0,2,0
"Antawn Jamison",1129,14,0,28,5
"Ante Zizic",121,1,0,0,0
"Anthony Avent",361,5,0,7,0
"Anthony Bennett",151,1,0,2,0
"Anthony Bonner",341,4,0,6,1
"Anthony Bowie",501,4,0,9,2
"Anthony Brown",41,0,0,0,1
"Anthony Carter",662,7,1,17,16
"Anthony Cook",116,1,0,1,0
"Anthony Davis",643,3,2,25,3
"Anthony Edwards",150,1,1,9,0
"Anthony Gill",70,0,0,0,0
"Anthony Goldwire",266,1,0,0,0
"Anthony Grundy",12,0,0,0,0
"Anthony Johnson",893,2,2,28,3
"Anthony Lamb",26,0,0,0,0
"Anthony Mason",978,21,2,207,6
"Anthony Miller",189,3,0,3,0
"Anthony Morrow",581,1,0,12,0
"Anthony Parker",516,0,0,2,0
"Anthony Peeler",884,4,1,29,3
"Anthony Randolph",257,2,0,10,0
"Anthony Roberson",66,1,0,0,0
"Anthony Tolliver",744,6,0,1,3
"Anthony Tucker",62,0,0,2,0
"Antoine Carr",1094,68,0,59,3
"Antoine Rigaudeau",11,0,0,0,0
"Antoine Walker",957,30,10,161,6
"Antoine Wright",325,4,0,10,0
"Antonio Anderson",1,0,0,0,0
"Antonio Blakeney",76,0,0,1,0
"Antonio Burks",84,0,0,1,0
"Antonio Daniels",952,0,1,22,1
"Antonio Davis",996,38,4,83,5
"Antonio Harvey",187,0,0,6,1
"Antonio Lang",143,0,0,0,0
"Antonio McDyess",1115,58,7,60,1
"Antonis Fotsis",28,0,0,0,0
"Antonius Cleveland",30,1,0,0,0
"Anzejs Pasecniks",28,0,0,1,0
"Archie Goodwin",165,0,0,4,0
"Arinze Onuaku",19,0,0,0,0
"Armon Gilliam",963,12,0,44,11
"Armon Johnson",47,0,0,2,0
"Armoni Brooks",74,0,0,0,0
"Arnett Moultrie",59,0,0,0,0
"Aron Baynes",576,11,0,10,5
"Arron Afflalo",797,8,3,17,4
"Art Long",98,4,0,3,1
"Arvydas Macijauskas",19,0,0,0,0
"Arvydas Sabonis",521,25,1,13,1
"Ashraf Amaya",85,3,0,3,1
"Askia Jones",11,0,0,0,0
"Austin Croshere",727,11,0,5,3
"Austin Daye",298,4,0,1,2
"Austin Reaves",61,0,0,1,0
"Austin Rivers",715,4,5,35,0
"Avery Bradley",699,10,1,9,0
"Avery Johnson",1144,4,0,18,1
"Awvee Storey",60,0,0,0,2
"Axel Toupane",37,0,0,0,0
"Ayo Dosunmu",82,1,0,0,3
"B.J. Armstrong",852,1,0,5,0
"B.J. Tyler",55,0,0,0,0
"Bam Adebayo",389,6,0,9,3
"Baron Davis",885,19,5,133,9
"Ben Coleman",230,12,0,2,0
"Ben Davis",40,0,0,0,0
"Ben Gordon",773,12,2,19,8
"Ben Handlogten",38,2,0,1,0
"Ben McLemore",571,8,1,7,5
"Ben Simmons",309,6,2,23,3
"Ben Uzoh",60,0,0,0,0
"Ben Wallace",1218,5,2,66,1
"Beno Udrih",884,6,0,1,0
"Benoit Benjamin",825,28,0,69,2
"Bernard James",95,0,0,0,0
"Bernard Robinson",129,2,0,1,0
"Bill Cartwright",1087,35,0,29,1
"Bill Curley",147,8,0,3,2
"Bill Edwards",3,0,0,0,0
"Bill Laimbeer",1181,76,0,137,0
"Bill Wennington",790,23,0,3,0
"Billy Garrett Jr.",4,0,0,0,0
"Billy Owens",611,29,0,10,0
"Billy Thomas",61,0,0,0,0
"Bimbo Coles",863,18,4,65,11
"Bismack Biyombo",770,8,1,16,4
"Bison Dele",452,29,1,35,5
"BJ Johnson",22,0,0,0,0
"Blake Ahearn",22,0,0,0,0
"Blake Griffin",791,33,7,118,8
"Blue Edwards",738,11,1,67,2
"Bo Outlaw",936,19,0,40,1
"Bob Martin",54,1,0,0,0
"Bob McCann",179,2,0,4,0
"Bob Sura",670,8,3,53,4
"Bob Thornton",299,7,0,9,0
"Boban Marjanovic",317,1,1,3,2
"Bobby Brown",163,0,0,0,0
"Bobby Hurley",269,0,0,6,1
"Bobby Jackson",813,7,5,25,3
"Bobby Jones",91,0,0,1,0
"Bobby Phills",493,10,0,4,0
"Bobby Portis",491,1,4,33,9
"Bobby Simmons",475,18,0,13,3
"Bogdan Bogdanovic",338,2,0,1,2
"Bojan Bogdanovic",650,3,0,25,2
"Bol Bol",60,0,0,0,0
"Bones Hyland",74,0,0,4,0
"Boniface N'Dong",23,0,0,0,0
"Bonzi Wells",639,11,10,95,10
"Bonzie Colson",8,0,0,0,0
"Boris Diaw",1183,24,0,10,0
"Bostjan Nachbar",335,5,0,9,0
"Bracey Wright",26,0,0,0,0
"Brad Daugherty",589,12,0,25,0
"Brad Lohaus",676,20,0,5,0
"Brad Miller",918,33,7,90,24
"Brad Wanamaker",212,1,0,3,0
"Bradley Beal",690,5,3,40,6
"Brandan Wright",440,0,0,0,0
"Branden Dawson",6,0,0,0,0
"Brandon Armstrong",116,0,0,0,0
"Brandon Bass",817,5,0,10,1
"Brandon Boston Jr.",51,0,0,1,1
"Brandon Clarke",195,0,0,1,1
"Brandon Davies",78,2,0,0,0
"Brandon Goodwin",133,0,0,0,0
"Brandon Hunter",70,0,0,0,1
"Brandon Ingram",374,7,3,14,4
"Brandon Jennings",580,1,9,39,1
"Brandon Knight",451,2,0,5,2
"Brandon Paul",65,0,0,1,0
"Brandon Roy",341,4,0,5,0
"Brandon Rush",503,2,0,0,0
"Brandon Sampson",14,0,0,0,0
"Brandon Williams",42,0,0,0,0
"Braxton Key",11,1,0,0,0
"Brendan Haywood",870,20,2,29,10
"Brent Barry",1000,18,1,12,5
"Brent Price",427,8,0,3,0
"Brent Scott",16,0,0,0,0
"Brett Szabo",70,0,0,0,0
"Brevin Knight",743,21,5,49,0
"Brian Bowen II",12,0,0,0,0
"Brian Cardinal",474,4,0,6,4
"Brian Cook",452,12,2,19,2
"Brian Davis",68,0,0,0,0
"Brian Evans",107,0,0,0,0
"Brian Grant",814,48,3,56,6
"Brian Oliver",122,0,0,1,0
"Brian Roberts",324,2,0,1,0
"Brian Scalabrine",559,11,0,9,2
"Brian Shaw",1070,16,0,14,1
"Brian Skinner",629,8,0,7,2
"Briante Weber",47,0,0,1,0
"Brice Johnson",21,0,0,0,0
"Britton Johnsen",26,0,0,0,0
"Brodric Thomas",44,0,0,0,0
"Brook Lopez",941,18,0,29,4
"Brooks Thompson",176,1,0,3,0
"Bruce Bowen",1008,14,1,40,7
"Bruce Brown",289,1,0,7,1
"Bruno Caboclo",107,0,0,0,0
"Bruno Fernando",125,0,0,3,1
"Bruno Sundov",103,1,0,0,0
"Bryant Reeves",395,27,0,9,0
"Bryant Stith",601,4,0,6,0
"Bryce Cotton",23,0,0,0,0
"Bryce Dejean-Jones",14,0,0,0,0
"Bryce Drew",246,3,1,2,0
"Bryn Forbes",448,1,0,1,3
"Bryon Russell",946,15,1,17,2
"Bubba Wells",39,1,0,0,0
"Buck Williams",1415,68,1,128,5
"Buddy Hield",468,2,2,9,1
"Byron Houston",218,18,0,9,0
"Byron Mullens",190,0,0,6,2
"Byron Scott",1256,9,0,19,0
"C.J. Watson",648,5,0,3,0
"C.J. Williams",53,0,0,0,0
"Cade Cunningham",64,1,1,7,0
"Cal Bowdler",142,2,0,0,0
"Calbert Cheaney",833,14,0,8,2
"Caleb Martin",148,1,1,4,1
"Caleb Swanigan",76,2,0,0,1
"Calvin Booth",377,4,0,1,0
"Cam Reddish",137,0,1,2,2
"Cam Thomas",67,0,0,0,0
"Cameron Bairstow",36,0,0,0,0
"Cameron Johnson",217,0,0,1,0
"Cameron McGriff",3,0,0,0,0
"Cameron Oliver",6,0,0,0,0
"Cameron Payne",325,6,1,10,0
"Cameron Reynolds",24,0,0,0,0
"Caris LeVert",327,2,0,7,0
"Carl Herrera",506,7,0,14,0
"Carl Landry",550,8,0,11,5
"Carl Thomas",64,0,0,2,0
"Carlik Jones",5,0,0,0,0
"Carlos Arroyo",603,3,1,14,0
"Carlos Boozer",944,27,3,40,9
"Carlos Delfino",548,2,0,1,1
"Carlos Rogers",298,3,0,32,5
"Carmelo Anthony",1343,24,11,184,15
"Caron Butler",946,12,0,27,3
"Carrick Felix",7,0,0,0,0
"Carsen Edwards",75,0,0,0,0
"Cartier Martin",246,0,0,0,1
"Casey Jacobsen",293,0,0,2,1
"Casper Ware",9,0,0,0,0
"Cassius Stanley",33,0,0,0,0
"Cassius Winston",30,0,0,0,0
"Cedi Osman",341,3,0,7,1
"Cedric Bozeman",23,0,0,0,0
"Cedric Ceballos",668,6,0,28,0
"Cedric Henderson",264,5,0,3,1
"Cedric Jackson",12,0,0,0,0
"Cedric Lewis",3,0,0,0,0
"Cedric Simmons",75,0,0,1,0
"Cezary Trybanski",22,0,0,0,0
"Chad Gallagher",2,0,0,0,0
"Chandler Hutchison",105,0,0,1,0
"Chandler Parsons",453,5,0,6,1
"Channing Frye",939,17,2,29,9
"Charles A Smith",146,1,0,0,0
"Charles Barkley",1196,48,6,356,13
"Charles Bassey",26,1,0,0,0
"Charles Claxton",3,0,0,0,0
"Charles Cooke",13,0,0,0,0
"Charles Daniel Smith",630,39,0,23,1
"Charles E. Smith",76,0,0,0,0
"Charles J Jones",770,32,0,3,0
"Charles Jenkins",110,0,0,0,0
"Charles Jones",85,0,0,0,0
"Charles O'Bannon",52,0,0,0,0
"Charles Oakley",1426,69,6,195,25
"Charles Shackleford",303,6,0,2,0
"Charlie Bell",384,3,0,2,0
"Charlie Brown Jr.",39,0,0,0,0
"Charlie Villanueva",665,16,5,16,10
"Charlie Ward",702,13,1,3,7
"Chase Budinger",407,0,0,1,0
"Chasson Randle",119,1,0,0,1
"Chauncey Billups",1189,18,2,83,7
"Chaundee Brown Jr.",5,0,0,0,0
"Cheick Diallo",190,0,0,0,1
"Cheikh Samb",22,0,0,0,0
"Cherokee Parks",479,8,1,11,0
"Chimezie Metu",143,0,0,6,0
"Chinanu Onuaku",7,0,0,0,0
"Chris Andersen",768,7,0,15,2
"Chris Anstey",155,6,0,4,3
"Chris Babb",14,0,0,0,0
"Chris Bosh",982,11,2,36,0
"Chris Boucher",246,3,0,6,0
"Chris Carr",301,3,0,4,2
"Chris Childs",614,28,5,75,16
"Chris Chiozza",101,0,0,0,0
"Chris Clemons",35,0,0,0,1
"Chris Copeland",192,1,1,2,0
"Chris Corchiani",112,0,0,3,0
"Chris Crawford",259,12,0,4,2
"Chris Douglas-Roberts",226,0,0,1,0
"Chris Duarte",55,0,1,2,0
"Chris Dudley",945,45,2,53,3
"Chris Duhon",635,2,2,8,1
"Chris Garner",46,0,0,0,0
"Chris Gatling",715,18,5,105,12
"Chris Herren",70,0,0,1,1
"Chris Hunter",60,3,0,0,0
"Chris Jefferies",72,0,0,0,0
"Chris Jent",17,1,0,0,0
"Chris Johnson",222,1,0,4,2
"Chris Kaman",753,21,2,60,8
"Chris King",105,0,0,1,0
"Chris McCullough",59,0,0,0,0
"Chris Mihm",441,19,0,9,2
"Chris Mills",587,13,3,38,7
"Chris Morris",816,20,1,46,5
"Chris Mullin",1057,10,0,40,1
"Chris Owens",1,0,0,0,0
"Chris Paul",1297,14,5,171,6
"Chris Porter",51,2,0,0,0
"Chris Quinn",246,1,0,0,1
"Chris Richard",70,2,0,1,1
"Chris Robinson",76,2,0,2,0
"Chris Silva",69,2,0,1,0
"Chris Singleton",148,2,0,2,2
"Chris Smith",224,2,0,0,0
"Chris Taft",17,0,0,0,0
"Chris Webber",911,44,3,99,9
"Chris Whitney",589,10,0,6,0
"Chris Wilcox",628,16,1,20,0
"Chris Wright",35,0,0,0,0
"Christian Eyenga",54,0,0,0,0
"Christian Laettner",913,50,1,49,3
"Christian Wood",222,0,0,8,2
"Chuck Hayes",675,20,0,3,0
"Chuck Nevitt",171,1,0,1,0
"Chuck Person",994,35,0,63,2
"Chucky Atkins",731,12,3,16,0
"Chucky Brown",735,4,0,26,1
"Chuma Okeke",115,0,0,1,0
"CJ Elleby",90,0,0,0,0
"CJ McCollum",653,2,0,23,19
"CJ Miles",893,6,0,2,0
"CJ Wilcox",68,0,0,0,0
"Clarence Weatherspoon",933,9,1,18,1
"Cleanthony Early",56,1,0,1,0
"Cliff Alexander",8,0,0,0,0
"Cliff Levingston",912,32,0,11,0
"Clifford Robinson",1521,78,6,132,5
"Clifford Rozier",173,4,1,4,0
"Clint Capela",552,7,0,6,5
"Clint McDaniel",12,0,0,0,0
"Clyde Drexler",1231,40,1,110,1
"Coby Karl",25,1,0,0,0
"Coby White",200,2,0,2,1
"Cody Martin",171,1,1,3,1
"Cody Zeller",505,14,0,5,1
"Cole Aldrich",350,3,0,0,0
"Cole Anthony",112,0,0,9,1
"Collin Sexton",218,1,1,5,4
"Corey Beck",94,0,0,1,0
"Corey Benjamin",153,4,0,3,2
"Corey Brewer",866,12,0,12,0
"Corey Crowder",62,0,0,0,0
"Corey Gaines",84,0,0,1,0
"Corey Kispert",77,0,0,1,0
"Corey Maggette",839,30,3,40,4
"Corey Williams",39,0,0,0,0
"Corie Blount",681,12,1,9,0
"Corliss Williamson",888,20,6,51,9
"Corsley Edwards",10,1,0,0,1
"Cory Alexander",316,2,0,1,2
"Cory Higgins",44,0,0,0,0
"Cory Jefferson",58,0,0,0,0
"Cory Joseph",810,3,0,7,3
"Coty Clarke",3,0,0,0,0
"Courtney Alexander",192,1,0,0,1
"Courtney Lee",861,5,0,9,0
"Courtney Sims",5,0,0,0,0
"Craig Brackins",17,0,0,0,0
"Craig Ehlo",949,2,0,19,0
"Craig Smith",403,6,3,11,4
"Craig Sword",3,0,0,0,0
"Cristiano Felicio",258,1,0,2,0
"Curtis Borchardt",83,1,0,1,0
"Cuttino Mobley",773,9,1,58,1
"D'Angelo Russell",435,3,3,25,1
"D.J. Augustin",1014,1,1,24,2
"D.J. Strawberry",33,0,0,0,0
"D.J. White",138,0,0,1,0
"D.J. Wilson",154,0,0,0,0
"Daequan Cook",374,6,0,0,0
"Dahntay Jones",698,6,1,26,3
"Dairis Bertans",12,0,0,0,0
"Daishen Nix",24,0,0,1,0
"DaJuan Summers",83,1,0,1,0
"Dajuan Wagner",103,2,0,0,0
"Dakari Johnson",31,0,0,0,0
"Dakota Mathias",14,0,0,0,0
"Dalano Banton",68,0,0,0,0
"Dale Davis",1231,26,6,104,17
"Dale Ellis",1282,12,0,74,2
"Dalibor Bagaric",95,0,0,6,3
"Damian Jones",211,4,0,3,1
"Damian Lillard",772,2,1,33,0
"Damien Inglis",20,0,0,0,0
"Damien Wilkins",597,1,0,7,1
"Damion James",39,0,0,0,0
"Damion Lee",231,2,1,2,2
"Damir Markota",30,0,0,0,0
"Damjan Rudez",146,0,0,0,0
"Damon Jones",716,0,3,23,0
"Damon Stoudamire",931,5,0,18,1
"Damone Brown",39,0,0,0,0
"Damyean Dotson",213,0,0,1,1
"Dan Dickau",300,4,0,2,2
"Dan Gadzuric",539,14,0,2,0
"Dan Langhi",133,0,0,0,1
"Dan Majerle",1078,9,0,10,1
"Dan Mcclintock",6,1,0,0,1
"Dan O'Sullivan",45,0,0,0,0
"Dana Barros",881,3,0,6,1
"Daniel Ewing",133,1,0,0,0
"Daniel Gafford",174,4,0,9,1
"Daniel Gibson",447,9,2,9,0
"Daniel Hamilton",25,0,0,0,0
"Daniel Ochefu",19,0,0,0,0
"Daniel Orton",51,0,1,2,0
"Daniel Oturu",41,0,0,0,0
"Daniel Santiago",124,2,0,1,0
"Daniel Theis",346,12,0,10,2
"Danilo Gallinari",776,5,0,22,11
"Danny Ainge",1235,30,0,35,2
"Danny Ferry",984,9,2,37,8
"Danny Fortson",451,40,11,72,19
"Danny Granger",621,24,1,28,3
"Danny Green",984,4,0,15,2
"Danny Manning",926,43,2,70,5
"Danny Schayes",1207,62,0,5,0
"Danny Young",627,1,0,1,0
"Dante Cunningham",736,4,1,11,1
"Dante Exum",262,0,0,1,0
"Danuel House Jr.",226,0,0,4,0
"DaQuan Jeffries",47,1,0,0,1
"Dario Saric",380,2,0,11,1
"Darius Bazley",192,0,0,3,2
"Darius Garland",181,2,1,6,1
"Darius Miles",446,7,1,24,3
"Darius Miller",280,2,0,0,1
"Darius Morris",141,0,0,2,0
"Darius Songaila",516,12,0,11,2
"Darius Washington",18,0,0,0,0
"Darko Milicic",489,12,2,16,1
"Darnell Jackson",143,0,0,1,0
"Darnell Mee",43,0,0,0,0
"Darrel Armstrong",891,11,5,36,7
"Darrell Arthur",531,12,0,10,2
"Darren Collison",751,2,0,6,0
"Darren Morningstar",23,1,0,0,0
"Darrick Martin",539,4,2,11,1
"Darrin Hancock",142,2,0,1,0
"Darrun Hilliard",91,0,0,0,0
"Darryl Johnson",11,0,0,0,0
"Darryl Watkins",14,0,0,0,0
"Darvin Ham",472,7,1,12,6
"Daryl Macon",12,0,0,0,0
"Dave Jamerson",92,0,0,0,0
"Dave Johnson",59,0,0,1,0
"David Andersen",103,0,0,3,1
"David Benoit",549,5,0,10,0
"David Duke Jr.",22,0,0,0,0
"David Harrison",195,12,1,19,0
"David Lee",872,25,0,22,9
"David Noel",68,1,0,0,0
"David Nwaba",237,3,0,2,2
"David Robinson",1110,38,1,34,1
"David Stockton",8,0,0,0,0
"David Vanterpool",22,0,0,0,0
"David Vaughn",118,3,0,1,0
"David Wesley",1004,17,0,25,2
"David West",1152,9,4,92,9
"David Wingate",799,8,0,14,0
"David Wood",420,17,0,6,2
"Davion Mitchell",75,0,0,0,0
"Davis Bertans",432,4,2,26,4
"Davon Reed",79,0,0,1,0
"Day'Ron Sharpe",32,2,0,0,0
"De'Aaron Fox",322,4,2,27,1
"De'Andre Hunter",149,4,0,4,2
"De'Anthony Melton",250,2,0,0,1
"Dean Garrett",372,3,0,1,2
"Dean Oliver",35,1,0,0,0
"Dean Wade",126,1,0,0,0
"DeAndre' Bembry",296,1,2,13,2
"Deandre Ayton",271,6,0,12,3
"DeAndre Jordan",1040,13,4,104,8
"DeAndre Liggins",188,0,0,5,0
"Dee Brown",715,10,0,6,0
"Deividas Sirvydis",23,0,0,0,0
"Dejounte Murray",336,1,1,7,0
"DeJuan Blair",466,4,1,8,3
"Dejuan Wheat",81,0,0,0,0
"Dell Curry",1134,7,1,26,1
"Dell Demps",20,0,0,0,0
"Delon Wright",448,1,0,1,1
"Delonte West",490,6,2,35,4
"DeMar DeRozan",1020,4,9,106,9
"DeMarcus Cousins",674,52,18,147,9
"DeMarcus Nelson",13,0,0,0,0
"DeMarre Carroll",642,6,0,20,3
"Demetris Nichols",18,0,0,0,0
"Demetrius Jackson",26,0,0,0,0
"Deng Adel",19,0,0,0,0
"Deni Avdija",136,3,0,3,0
"Dennis Rodman",1080,38,5,272,11
"Dennis Schroder",673,3,2,39,6
"Dennis Scott",674,10,0,8,2
"Dennis Smith Jr.",216,1,0,19,1
"Denzel Valentine",260,1,1,3,1
"Deonte Burton",75,0,0,0,0
"DeQuan Jones",63,0,0,0,0
"Derek Anderson",639,7,0,6,1
"Derek Fisher",1546,26,3,64,3
"Derek Grimm",9,0,0,0,0
"Derek Harper",2592,18,0,266,14
"Derek Strong",466,5,0,13,2
"DerMarr Johnson",354,1,0,0,1
"Deron Williams",935,14,4,49,3
"Derrick Alston",139,2,0,0,0
"Derrick Brown",173,0,0,0,0
"Derrick Caracter",41,1,0,0,0
"Derrick Coleman",820,19,8,92,16
"Derrick Dial",84,0,0,0,0
"Derrick Favors",832,8,2,7,4
"Derrick Jones Jr.",302,4,0,3,2
"Derrick McKey",1079,36,1,19,4
"Derrick Rose",723,7,0,23,1
"Derrick Walton Jr.",45,0,0,0,0
"Derrick White",294,0,0,0,0
"Derrick Williams",436,0,0,3,1
"Derrick Zimmerman",2,0,0,0,0
